time_stamp,avg_hr
Thu Nov 10 2022 22:59:00 GMT+0100 (Central European Standard Time),83
Thu Nov 10 2022 23:59:59 GMT+0100 (Central European Standard Time),79
Fri Nov 11 2022 00:59:00 GMT+0100 (Central European Standard Time),77
Fri Nov 11 2022 01:59:00 GMT+0100 (Central European Standard Time),76
Fri Nov 11 2022 02:58:00 GMT+0100 (Central European Standard Time),76
Fri Nov 11 2022 03:59:00 GMT+0100 (Central European Standard Time),69
Fri Nov 11 2022 04:59:00 GMT+0100 (Central European Standard Time),63
Fri Nov 11 2022 05:59:00 GMT+0100 (Central European Standard Time),62
Fri Nov 11 2022 06:57:00 GMT+0100 (Central European Standard Time),62
Fri Nov 11 2022 07:57:00 GMT+0100 (Central European Standard Time),62
Fri Nov 11 2022 08:59:00 GMT+0100 (Central European Standard Time),68
Fri Nov 11 2022 09:59:00 GMT+0100 (Central European Standard Time),74
Fri Nov 11 2022 10:59:00 GMT+0100 (Central European Standard Time),75
Fri Nov 11 2022 11:59:00 GMT+0100 (Central European Standard Time),75
Fri Nov 11 2022 12:59:00 GMT+0100 (Central European Standard Time),73
Fri Nov 11 2022 13:59:00 GMT+0100 (Central European Standard Time),75
Fri Nov 11 2022 14:59:00 GMT+0100 (Central European Standard Time),73
Fri Nov 11 2022 15:59:00 GMT+0100 (Central European Standard Time),73
Fri Nov 11 2022 16:59:00 GMT+0100 (Central European Standard Time),71
Fri Nov 11 2022 17:59:00 GMT+0100 (Central European Standard Time),75
Fri Nov 11 2022 18:59:00 GMT+0100 (Central European Standard Time),83
Fri Nov 11 2022 19:59:00 GMT+0100 (Central European Standard Time),92
Fri Nov 11 2022 20:59:00 GMT+0100 (Central European Standard Time),103
Fri Nov 11 2022 21:59:00 GMT+0100 (Central European Standard Time),97
Fri Nov 11 2022 22:59:00 GMT+0100 (Central European Standard Time),95
Fri Nov 11 2022 23:59:59 GMT+0100 (Central European Standard Time),87
Sat Nov 12 2022 00:59:00 GMT+0100 (Central European Standard Time),81
Sat Nov 12 2022 01:55:00 GMT+0100 (Central European Standard Time),74
Sat Nov 12 2022 02:58:00 GMT+0100 (Central European Standard Time),73
Sat Nov 12 2022 03:58:00 GMT+0100 (Central European Standard Time),69
Sat Nov 12 2022 04:59:00 GMT+0100 (Central European Standard Time),67
Sat Nov 12 2022 05:55:00 GMT+0100 (Central European Standard Time),66
Sat Nov 12 2022 06:59:00 GMT+0100 (Central European Standard Time),65
Sat Nov 12 2022 07:57:00 GMT+0100 (Central European Standard Time),65
Sat Nov 12 2022 08:59:00 GMT+0100 (Central European Standard Time),71
Sat Nov 12 2022 09:59:00 GMT+0100 (Central European Standard Time),74
Sat Nov 12 2022 10:59:00 GMT+0100 (Central European Standard Time),80
Sat Nov 12 2022 11:58:00 GMT+0100 (Central European Standard Time),78
Sat Nov 12 2022 12:59:00 GMT+0100 (Central European Standard Time),76
Sat Nov 12 2022 13:59:00 GMT+0100 (Central European Standard Time),83
Sat Nov 12 2022 14:56:00 GMT+0100 (Central European Standard Time),77
Sat Nov 12 2022 15:59:00 GMT+0100 (Central European Standard Time),74
Sat Nov 12 2022 16:59:00 GMT+0100 (Central European Standard Time),85
Sat Nov 12 2022 17:59:00 GMT+0100 (Central European Standard Time),74
Sat Nov 12 2022 18:59:00 GMT+0100 (Central European Standard Time),73
Sat Nov 12 2022 19:58:00 GMT+0100 (Central European Standard Time),67
Sat Nov 12 2022 20:59:00 GMT+0100 (Central European Standard Time),77
Sat Nov 12 2022 21:59:00 GMT+0100 (Central European Standard Time),75
Sat Nov 12 2022 22:59:00 GMT+0100 (Central European Standard Time),74
Sat Nov 12 2022 23:59:00 GMT+0100 (Central European Standard Time),67
Sun Nov 13 2022 00:58:00 GMT+0100 (Central European Standard Time),65
Sun Nov 13 2022 01:59:00 GMT+0100 (Central European Standard Time),65
Sun Nov 13 2022 02:59:00 GMT+0100 (Central European Standard Time),63
Sun Nov 13 2022 03:59:00 GMT+0100 (Central European Standard Time),64
Sun Nov 13 2022 04:58:00 GMT+0100 (Central European Standard Time),69
Sun Nov 13 2022 05:59:00 GMT+0100 (Central European Standard Time),70
Sun Nov 13 2022 06:59:00 GMT+0100 (Central European Standard Time),67
Sun Nov 13 2022 07:59:00 GMT+0100 (Central European Standard Time),63
Sun Nov 13 2022 08:59:00 GMT+0100 (Central European Standard Time),77
Sun Nov 13 2022 09:59:00 GMT+0100 (Central European Standard Time),78
Sun Nov 13 2022 10:59:00 GMT+0100 (Central European Standard Time),89
Sun Nov 13 2022 11:59:00 GMT+0100 (Central European Standard Time),98
Sun Nov 13 2022 12:59:00 GMT+0100 (Central European Standard Time),95
Sun Nov 13 2022 13:59:00 GMT+0100 (Central European Standard Time),91
Sun Nov 13 2022 14:59:00 GMT+0100 (Central European Standard Time),103
Sun Nov 13 2022 15:59:00 GMT+0100 (Central European Standard Time),110
Sun Nov 13 2022 16:59:00 GMT+0100 (Central European Standard Time),99
Sun Nov 13 2022 17:59:00 GMT+0100 (Central European Standard Time),89
Sun Nov 13 2022 18:59:00 GMT+0100 (Central European Standard Time),82
Sun Nov 13 2022 19:59:00 GMT+0100 (Central European Standard Time),82
Sun Nov 13 2022 20:58:00 GMT+0100 (Central European Standard Time),88
Sun Nov 13 2022 21:43:00 GMT+0100 (Central European Standard Time),92
Sun Nov 13 2022 22:43:00 GMT+0100 (Central European Standard Time),82
Sun Nov 13 2022 23:59:00 GMT+0100 (Central European Standard Time),62
Mon Nov 14 2022 00:58:00 GMT+0100 (Central European Standard Time),63
Mon Nov 14 2022 01:58:00 GMT+0100 (Central European Standard Time),60
Mon Nov 14 2022 02:58:00 GMT+0100 (Central European Standard Time),63
Mon Nov 14 2022 03:58:00 GMT+0100 (Central European Standard Time),61
Mon Nov 14 2022 04:58:00 GMT+0100 (Central European Standard Time),60
Mon Nov 14 2022 05:58:00 GMT+0100 (Central European Standard Time),59
Mon Nov 14 2022 06:58:00 GMT+0100 (Central European Standard Time),60
Mon Nov 14 2022 07:58:00 GMT+0100 (Central European Standard Time),61
Mon Nov 14 2022 08:58:00 GMT+0100 (Central European Standard Time),65
Mon Nov 14 2022 09:58:00 GMT+0100 (Central European Standard Time),73
Mon Nov 14 2022 10:59:00 GMT+0100 (Central European Standard Time),76
Mon Nov 14 2022 11:59:00 GMT+0100 (Central European Standard Time),71
Mon Nov 14 2022 12:59:00 GMT+0100 (Central European Standard Time),63
