time_stamp,avg_hr
Wed Nov 15 2023 19:57:00 GMT+0100 (Central European Standard Time),73
Wed Nov 15 2023 20:56:00 GMT+0100 (Central European Standard Time),71
Wed Nov 15 2023 21:59:00 GMT+0100 (Central European Standard Time),73
Wed Nov 15 2023 22:55:00 GMT+0100 (Central European Standard Time),68
Wed Nov 15 2023 23:59:59 GMT+0100 (Central European Standard Time),58
Thu Nov 16 2023 00:58:00 GMT+0100 (Central European Standard Time),59
Thu Nov 16 2023 01:59:00 GMT+0100 (Central European Standard Time),57
Thu Nov 16 2023 02:59:00 GMT+0100 (Central European Standard Time),59
Thu Nov 16 2023 03:59:00 GMT+0100 (Central European Standard Time),63
Thu Nov 16 2023 04:59:00 GMT+0100 (Central European Standard Time),66
Thu Nov 16 2023 05:59:00 GMT+0100 (Central European Standard Time),64
Thu Nov 16 2023 06:59:00 GMT+0100 (Central European Standard Time),72
Thu Nov 16 2023 07:58:00 GMT+0100 (Central European Standard Time),67
Thu Nov 16 2023 08:59:00 GMT+0100 (Central European Standard Time),62
Thu Nov 16 2023 09:59:00 GMT+0100 (Central European Standard Time),73
Thu Nov 16 2023 10:59:00 GMT+0100 (Central European Standard Time),76
Thu Nov 16 2023 11:57:00 GMT+0100 (Central European Standard Time),72
Thu Nov 16 2023 12:59:00 GMT+0100 (Central European Standard Time),82
Thu Nov 16 2023 13:58:00 GMT+0100 (Central European Standard Time),76
Thu Nov 16 2023 14:59:00 GMT+0100 (Central European Standard Time),73
Thu Nov 16 2023 15:59:00 GMT+0100 (Central European Standard Time),79
